Yurt Adı	Şehir	İlçe	Tür	Kapasite
Abdullah Gül Üniversitesi Hakime Ahmet Kamil Erciyas Erkek Öğrenci Apartları	Kayseri	Kocasinan	Erkek	286 kişilik
ABDULLLAH GÜL ÜNİVERSİTESİ KIZ ÖĞRENCİ APARTLARI	Kayseri	Kocasinan	Kız	256 kişilik
AKIN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTI	Bursa	Nilüfer	Kız	45 kişilik
AYANCıK YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Sinop	Ayancık	Erkek	40 kişilik
BÜYÜK ANADOLU YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	52 kişilik
ÇANKAYA ÜNIVERSITESI YÜKSEKÖĞRENIM ÖZEL ERKEK ÖĞRENCI YURDU	Ankara	Etimesgut	Erkek	84 kişilik
ÇANKAYA ÜNIVERSITESI YÜKSEKÖĞRENIM ÖZEL KIZ ÖĞRENCI YURDU	Ankara	Etimesgut	Kız	84 kişilik
ÇINARÖNÜ ÖĞRENCİ YURDU	Bursa	Yıldırım	Erkek	72 kişilik
EMEK KAMİL BEY YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Pendik	Erkek	66 kişilik
HASGÜL YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Kahramanmaraş	Onikişubat	Erkek	73 kişilik
İHLAS VAKFI ÖZEL SİNANPAŞA YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Sinanpaşa	Erkek	80 kişilik
İLİM YAYMA CEMİYETİ BARTIN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bartın	Bartın/Merkez	Kız	144 kişilik
İLİM YAYMA CEMİYETİ GEMLİK YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	Gemlik	Kız	80 kişilik
İLIM YAYMA CEMIYETI MEHDI SUNGUR YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Yalova	Yalova/Merkez	Erkek	243 kişilik
ILİM YAYMA CEMİYETİ ŞAVŞAT ÖZEL SELAHATTIN KAYA YÜKSEKÖĞETIM ERKEK ÖĞRENCI YURDU	Artvin	Şavşat	Erkek	52 kişilik
İLİM YAYMA CEMİYETİ YENİMAHALLE ŞUBE ÖZEL HÜMA HATUN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	54 kişilik
MARMARA ÜNİVERSİTESİ HANDAN ERTUĞRUL KIZ ÖĞRENCİ YURDU	İstanbul	Kadıköy	Kız	72 kişilik
MARMARA ÜNİVERSİTESİ MEHMET GENÇ KÜLLİYESİ ERKEK ÖĞRENCİ YURDU	İstanbul	Kartal	Erkek	534 kişilik
MARMARA ÜNİVERSİTESİ MEHMET GENÇ KÜLLİYESİ KıZ ÖĞRENCİ YURDU	İstanbul	Kartal	Kız	726 kişilik
MARMARA ÜNİVERSİTESİ ÖZMEN AKTAR KIZ ÖĞRENCİ YURDU	İstanbul	Kadıköy	Kız	472 kişilik
MEHMET VE M.MUHİTTİN CİĞER YÜKSEK ÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kahramanmaraş	Onikişubat	Erkek	360 kişilik
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ AYHAN ŞAHENK ERKEK ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Erkek	91 kişilik
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ AYHAN ŞAHENK KIZ ÖĞRENCİ YURDU	Niğde	Niğde/Merkez	Kız	101 kişilik
ÖZEL 15 TEMMUZ İSTİKLAL ŞEHİTLERİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Bursa	İznik	Kız	88 kişilik
ÖZEL 15 TEMMUZ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Zonguldak	Zonguldak/Merkez	Erkek	104 kişilik
ÖZEL 18 MART YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	44 kişilik
ÖZEL 19 MAYIS YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Kütahya	Kütahya/Merkez	Erkek	108 kişilik
ÖZEL 312 YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Çankaya	Kız	108 kişilik
ÖZEL 3B İSTANBUL TURKUAZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Şişli	Kız	92 kişilik
ÖZEL ABDÜLHAMİD HAN YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Samsun	Atakum	Erkek	49 kişilik
ÖZEL ACARLAR YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aksaray	Aksaray/Merkez	Erkek	144 kişilik
ÖZEL ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Ataşehir	Erkek	216 kişilik
ÖZEL ACIBADEM YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Kadıköy	Kız	64 kişilik
ÖZEL ACıBADEM MEHMET ALI AYDıNLAR ÜNIVERSITESI YÜKSEKÖĞRENIM KıZ ÖĞRENCI YURDU	İstanbul	Ataşehir	Kız	260 kişilik
ÖZEL AC YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU 3. ŞUBESİ	Ankara	Yenimahalle	Kız	94 kişilik
ÖZEL AC YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	82 kişilik
ÖZEL AC YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU 2.ŞUBESİ	Ankara	Yenimahalle	Kız	99 kişilik
ÖZEL ADALET İLMEN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İstanbul	Maltepe	Kız	112 kişilik
ÖZEL ADALET YÜKSEKÖĞRETİM KIZ ÖĞRENCİ APARTLARI	Ankara	Çankaya	Kız	24 kişilik
ÖZEL ADANA DURU DENİZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	Adana	Seyhan	Kız	76 kişilik
ÖZEL ADA YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	Çanakkale	Çanakkale/Merkez	Erkek	74 kişilik
ÖZEL ADA YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Çanakkale	Çanakkale/Merkez	Kız	40 kişilik
ÖZEL ADA YÜKSEKÖĞRENIM KıZ ÖĞRENCİ YURDU	Ankara	Yenimahalle	Kız	100 kişilik
ÖZEL ADA YÜKSEK ÖĞRETİM KIZ ÖĞRENCİ YURDU	Adana	Seyhan	Kız	127 kişilik
ÖZEL ADA YÜKSEKÖĞRETIM KıZ ÖĞRENCI PANSIYONU	Kırklareli	Kırklareli/Merkez	Kız	50 kişilik
ÖZEL ADEF YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	İzmir	Buca	Kız	278 kişilik
ÖZEL ADEN YÜKSEK ÖĞRENIM ERKEK ÖĞRENCI APARTı	Çanakkale	Çanakkale/Merkez	Erkek	61 kişilik
ÖZEL AFYONKARAHİSAR İLİM YAYMA CEMİYETİ ÖZEL AHMET KARAHİSARİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Afyonkarahisar/Merkez	Erkek	426 kişilik
ÖZEL AHATLI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Antalya	Kepez	Erkek	47 kişilik
ÖZEL AHMEDİYE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Kırşehir	Kırşehir/Merkez	Erkek	149 kişilik
ÖZEL AHMEDİYE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Çankırı	Çankırı/Merkez	Erkek	90 kişilik
ÖZEL AHMEDİYE YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Yalova	Yalova/Merkez	Erkek	66 kişilik
ÖZEL AHMEDİYE YÜKSKEÖĞRETİM ERKEK ÖĞRENCİ YURDU	İstanbul	Eyüpsultan	Erkek	64 kişilik
ÖZEL AHMET AKTAŞ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Bursa	Nilüfer	Erkek	176 kişilik
ÖZEL AHMET TEVFİK İLERİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Batman	Batman/Merkez	Erkek	100 kişilik
ÖZEL AHSEN YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Ankara	Altındağ	Kız	35 kişilik
ÖZEL AKADEMİ İSTANBUL YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Kağıthane	Kız	149 kişilik
ÖZEL AKADEMİ KAMPÜS YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	160 kişilik
ÖZEL AKADEMİ SEYRANTEPE YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kağıthane	Erkek	144 kişilik
ÖZEL AKADEMİ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	İstanbul	Fatih	Erkek	71 kişilik
ÖZEL AKADEMİ YÜKSEKÖĞRENİM KIZ ÖĞRENCİ YURDU	Çanakkale	Biga	Kız	128 kişilik
ÖZEL AKADEMİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Aydın	Efeler	Erkek	195 kişilik
ÖZEL AKADEMİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Ataşehir	Kız	97 kişilik
ÖZEL AKADEMİ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Kastamonu	Kastamonu/Merkez	Kız	108 kişilik
ÖZEL AKARETLER BEŞİKTAŞ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ PANSİYONU	İstanbul	Beşiktaş	Kız	100 kişilik
ÖZEL AKARETLER YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Beşiktaş	Kız	355 kişilik
ÖZEL AKASYA YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ APARTLARI	Kastamonu	Tosya	Erkek	136 kişilik
ÖZEL AKASYA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Manisa	Yunusemre	Kız	402 kişilik
ÖZEL AKAY YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	Sakarya	Adapazarı	Erkek	115 kişilik
ÖZEL AKBİLEK YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Amasya	Amasya/Merkez	Erkek	84 kişilik
ÖZEL AKÇA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Adapazarı	Kız	92 kişilik
ÖZEL AKDENİZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Burdur	Burdur/Merkez	Kız	96 kişilik
ÖZEL AKDENİZ YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Fatih	Kız	65 kişilik
ÖZEL AKIN YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Antalya	Muratpaşa	Kız	59 kişilik
ÖZEL AKKÖPRÜ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Ankara	Altındağ	Erkek	198 kişilik
ÖZEL AKPINAR HACI ASIM VE HACI HADİCE KARAER YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Adıyaman	Adıyaman/Merkez	Erkek	83 kişilik
ÖZEL AKPıNAR YÜKSEK ÖĞRENIM KıZ ÖĞRENCI YURDU	Kütahya	Altıntaş	Kız	71 kişilik
ÖZEL AKPOLAT YÜKSEKÖĞRENİM KIZ ÖĞRENCİ APARTLARI	Sivas	Sivas/Merkez	Kız	50 kişilik
ÖZEL AKSA YÜKSEKÖĞRENIM ERKEK ÖĞRENCI YURDU	Ankara	Çankaya	Erkek	65 kişilik
ÖZEL AKSA YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Antalya	Konyaaltı	Kız	98 kişilik
ÖZEL ALAÇATI YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	İzmir	Buca	Erkek	128 kişilik
ÖZEL ALA ÇATI YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	İstanbul	Şişli	Kız	270 kişilik
ÖZEL ALADAĞ YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ PANSİYONU	Adana	Aladağ	Erkek	27 kişilik
ÖZEL ALANYA İLİM YAYMA CEMİYETİ YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Antalya	Alanya	Erkek	100 kişilik
ÖZEL ALBAR YÜKSEKÖĞRETİM KIZ ÖĞRENCİ YURDU	Sakarya	Sapanca	Kız	32 kişilik
ÖZEL ALEV-YAŞAR AKTÜRK KİLİS VAKFI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Avcılar	Erkek	67 kişilik
ÖZEL ALİ DAYI YÜKSEKÖĞRENİM ERKEK ÖĞRENCİ YURDU	İstanbul	Kadıköy	Erkek	74 kişilik
ÖZEL ALİ DOĞAN YÜKSEKÖĞRETİM ERKEK ÖĞRENCİ YURDU	Afyonkarahisar	Bolvadin	Erkek	40 kişilik
